id;menuid;belongtype;menuname;parentmenuid;createtime;creatorid;creatorname;jhi_type;filenum;fileurl;departmentid;departmentname;spare_1;spare_2;spare_3
1;切;握 舞 pinafore;擒;about alongside;2024-08-15;photographer finally;considering 撒 伟大;10945;5115;alphabet furthermore cupboard;duh 总共 摇;ew 一味 now;2024-08-15;27650;依然
2;instant;towards 一道 since;红 鲁莽 basin;鲁莽;2024-08-15;below;brr;5320;30990;细 拖;vice circa ouch;更加 payee nor;2024-08-15;4559;lest
3;就;捏 what;gah vinyl;zowie aboard 仅;2024-08-15;黑不溜秋;like whoa;8169;29494;扔 冷;吃 from radiosonde;which 格外 雪白;2024-08-15;13279;拔 整齐
4;absent aw eek;down 搜;擦 鲁莽;duh up woot;2024-08-15;一同;只 拍;26508;23358;meanwhile;没有 amongst 摘;yum while onto;2024-08-16;18023;一定
5;overflight 少;fix during;捡;whereas;2024-08-15;抚 finally 走;热;5477;3306;更;eek 偏偏;wind dresser;2024-08-15;28346;fooey
6;持 than;woot 平坦;击 though furthermore;carabao pad;2024-08-16;eagle silly;小;3544;31969;多么 雪白;as;嚼 挡;2024-08-16;19498;一味 athwart at
7;athwart into whose;oh;till athwart to;逐步 given anenst;2024-08-15;boohoo;搀;31488;18572;smolt via what;till 必然;brr astride oh;2024-08-15;17726;whereas 难道 长
8;as 举 捏;ha;移动;outside;2024-08-15;粗;吮 inasmuch;22685;7960;whose;别 indeed diver;workplace candidacy;2024-08-15;31941;捡 yahoo
9;全 homeownership;indeed appetizer;可 百般 毅然;捧;2024-08-16;极 notwithstanding;清楚;7765;28883;多么 meh 单;since 捏;多亏 tenth coupon;2024-08-15;11233;抱 聪明
10;sanctuary;nor 必定;for;许多 ha 可;2024-08-16;amid ew;掐 snake;6877;7367;against;anenst so whether;仍然 times;2024-08-16;14650;笔直 how 黑不溜秋
