id;projectname;parentid;pbsid;description;jhi_number;projecttype;priorty;createdate;secretlevel;status;audit_status;progress
bd37487a-ed18-4095-9b5c-3c378dc64143;that 大约;单 yet anenst;多 大 yum;orange;18289;30589;7556;2024-07-16;PUBLIC;CANCELED;In_Audit;28533
9ab43cea-54a0-4b5b-b4ab-090fc2082152;爬;别;必定 aw;ballot yum;13653;574;8228;2024-07-16;PUBLIC;COMPLETED;Not_Audited;28863
c74b876d-a51c-4de3-b50e-bd11917a85e1;toward;afore;encounter if;搜 一道 apropos;30882;4149;16898;2024-07-15;NOSECTET_INTERNAL;NOTSTART;In_Audit;7995
fb2cf509-5596-4675-950a-4e78dd694981;掘;没 why;多么 掘;er for blah;21678;8100;27887;2024-07-15;SECRET;EXPIRED;Approved;30870
0c531123-c35e-4c89-bbf2-6c29897b9e97;lest 平坦 软;um 捣;yet;who 老实 猛然;19608;26316;5143;2024-07-15;SECRET;EXPIRED;Approved;31884
7110c0ef-fb85-4a24-a095-cccaf396e7d8;furthermore;supposing 走;抽 afore;大;21591;9888;14121;2024-07-16;PUBLIC;IN_PROGRESS;In_Audit;27073
18c22bb0-5a9e-4a12-a1aa-4d6f7346c6fd;苦 apropos warrant;considering 搜;vacuum music 一同;upon 掐 鲁莽;10622;13388;2832;2024-07-16;NOSECTET_INTERNAL;IN_PROGRESS;In_Audit;24764
63980459-345e-47c3-9967-1e712475b130;多 for 操作;atop why;红 because;整;6551;16022;25841;2024-07-16;NOSECTET_INTERNAL;EXPIRED;Approved;32033
5f447c6f-f3d1-41ae-8a21-9a89c8de7d56;慢 好;一同;更加;phew habitat;4649;12606;5365;2024-07-16;PUBLIC;EXPIRED;Approved;31718
199a1e8a-fb01-4aa7-9bec-8f7e428193a7;净 coordination soundness;patriarch commotion;最 about;hmph 难道;32465;18643;13991;2024-07-16;PUBLIC;COMPLETED;Not_Audited;15521
