id;wbsid;communicationtopic;communicationtime;worktarget;workcontent;remarks;audit_status
1;attribute since;leprosy 一起;2024-10-20;why whose 仅;索性 黑不溜秋;alto;IN_AUDIT
2;that 绿油油 可;跑 稍微;2024-10-21;提 observatory;总共 偏偏 红;单 拿;APPROVED
3;熟练 off;bride;2024-10-20;alongside during 全部;given 鲁莽;boyhood;APPROVED
4;circa against;until;2024-10-21;um worth um;so;揽 doll 抄;NOT_AUDITED
5;咬;planter once;2024-10-20;per after 硬;全部;移动;NOT_AUDITED
6;but;gadzooks;2024-10-20;ouch;撕 blah near;惟独 勇敢;APPROVED
7;太;ew 生动 软;2024-10-21;amongst;astride;转动;NOT_AUDITED
8;啃;一味 dinner whoa;2024-10-20;whereas whoever;当然 冷;though a barring;NOT_AUDITED
9;干脆 必定;aha woodchuck;2024-10-21;吞;down boo aside;aw;IN_AUDIT
10;聪明 vice until;坚固 gadzooks furthermore;2024-10-21;prohibition;平常;别;IN_AUDIT
