id;lettername;letternumber;lettertype;secretlevel;lettercontent;letterstatus;lettertime;previousfile;datarecordstatus
1;血淋淋 whoa;sandwich abaft;老实 before;SECRET;meanwhile admire;bather;2024-10-20;zowie 可 全;espadrille
2;meanwhile;magnitude;关闭 撬;CONFIDENTIAL;雪白 多亏 than;敲;2024-10-20;仅仅 lest;短 compulsion or
3;um what;that 雪白;whoa scalp ew;INTERNAL;beyond;摊;2024-10-21;vice glut an;preservation
4;brain 十分 mmm;plus 相当 索性;unless;PUBLIC;揍;barrier consequently screening;2024-10-21;拣 echidna;好些 till
5;haste;because on whether;搜 aha fooey;INTERNAL;全;phew;2024-10-20;倒;撞 phooey
6;over 敲;ha huzzah;up;PUBLIC;伟大 grub;near functionality;2024-10-20;what because;轻松
7;红;ugh 一齐;少;INTERNAL;平常 净 好些;总共 一共 比较;2024-10-21;geez 快 绿油油;phew
8;索性 now 坏;though;for 坏;CONFIDENTIAL;duh;between;2024-10-20;软;now unless
9;惟独 aha as;trumpet;按 抱 掷;PUBLIC;chimpanzee or;拖 underneath 掐;2024-10-21;fooey hence consequently;knock 一定 tabby
10;yahoo hatbox;till 单;whether;INTERNAL;consequently times;撒 倒 meanwhile;2024-10-21;不 down;before now 转动
