id;name;workbagid;workbagname;jhi_type;secretlevel;standard;measurementmethod;checkresult;checktarget;checktime;checkcompletion;checkstatus;audit_status
1;however nourishment 总共;披;starboard flash brr;操作;PUBLIC;黑不溜秋 hometown panther;provided till;until hmph;oof;2024-10-20;eek 大方;一味 vice yuck;IN_AUDIT
2;a hence uh-huh;yuck finally inasmuch;吞 多;gadzooks ugh;INTERNAL;弹;prune;冷 wren;聪明;2024-10-20;按 aboard gah;across 搜 spot;IN_AUDIT
3;仅仅 ectodermal;猛然;qua;长 生动;PUBLIC;整齐 敢情;ack 光;长 敢情;好 hence;2024-10-20;with ouch;anenst;APPROVED
4;老实 on;bandana;hm;in;SECRET;besides down;当然;聪明 along 扶;boo lest 极;2024-10-21;擅自;alibi save yahoo;NOT_AUDITED
5;bun;飞;by above ack;粗 riverbed;INTERNAL;少;血淋淋 gadzooks while;不 拎;吸;2024-10-20;大方;硬;IN_AUDIT
6;共;excepting gym;carbon 捣 er;yowza 当然;SECRET;socialist 撑 until;hmph the;amidst;even;2024-10-21;phew 只;like;APPROVED
7;which around anti;reduction 别 小;that 坚固;太 however;PUBLIC;shearling 生动;drat circa for;inside out;uh-huh notwithstanding among;2024-10-20;细 geez;多 provided unless;IN_AUDIT
8;一共 oof;whether whoa;轻松 affair;how ouch;CONFIDENTIAL;黑不溜秋;极;indeed;between abaft;2024-10-20;坏 抚;何尝 跑 拨;APPROVED
9;格外 yet about;through 扶;after sans 仍然;短;SECRET;整 mid 播;whether excluding screen;instead 托 血淋淋;几乎 out what;2024-10-20;that instead;细 once;NOT_AUDITED
10;擦;可 counterpart;whether apropos;meh 跑 短;INTERNAL;CD 快;utensil although;没;渐渐 稍微;2024-10-21;modulo down 必定;反正;IN_AUDIT
