id;contractid;contractcode;contractname;contractqualityid;contractcostid;contractfinanceid;projectid;projectsecretlevel;counterpartyunit;negotiationdate;negotiationlocation;negotiator;budgetamount;contractamount;approver;approvaldate;contractsecretlevel;deliverycontent;warrantyrequirement;purchaseplanno;purchaseplandate;purchaseplanamount;purchasemethod;purchasesecretlevel;reviewmethod;requirementdepartment;requirementperson;undertaker;undertakingdepartment;workbagid;projectmanager;fundsource;thesisname;contractauxiliaryno;reasonfornosuppliers;reasonforchange;negotiationfiletime;bidopeningtime;judges;responsevendorname;finalquoteandscore;noticeofcompletiontime;signingdate;contractenddate;actualcompletiontime;issubmitsecrecyagreement;issubmitsecurityagreement;remark
1;aboard 幸亏;brr 极其 cloud;considering;一概;as 吮;carving when 没;握;um antennae 何尝;zowie gee helmet;2024-10-21;索性 er aha;of 弹;16680.06;29759.68;平坦 yowza;2024-10-21;平坦 一同;hm cupola;抚 差点儿 聪明;粗;2024-10-21;6526.81;when 没有 拆;um;一概 吸 worth;pumpernickel gee;the aboard;跑;off;ouch gee;ah 当然;forenenst besides;via boohoo;捶 净 minus;despite 捡;through;2024-10-21;2024-10-21;拿;inasmuch unless;selling shoemaker with;2024-10-20;2024-10-20;2024-10-20;2024-10-20;phooey by;listing;well
2;nor with;anorak 比较;拆 果然;扔 phew;咬 扭;via till native;rake dinghy;粗;快 beneath whelp;2024-10-21;小 camp;格外 beneath;16192.45;7899.79;聪明;2024-10-21;underneath 必然 across;onto;per whereas rest;gadzooks;2024-10-20;20442.36;yuck singular 极其;clef;astride um;慢 打;简直;when 短;大方;太;camp um;supposing 长 peer;by worth 捺;out 吸;patent 光 uh-huh;逐渐 nor;2024-10-20;2024-10-21;past;laparoscope;倒 捡;2024-10-21;2024-10-20;2024-10-20;2024-10-20;打 黑不溜秋 小;整齐 around 单;batting 捧
3;insomnia however how;above 仿佛;following chromolithograph instead;推 走;咬 gosh because;快 坚固 maximum;短 吐 揽;播;老实 oh while;2024-10-20;giggle 红 好;espalier geez aw;26427.67;2513.64;forenenst 画;2024-10-20;by;above 拨 shoot;大 after;多么 击;2024-10-20;14340.36;oregano dome;伟大 攥 倒;into;before;没有;once therapy;or 很;拆 拆 law;yuck crumb 反正;near 小;aw;concerning 总共;or;披 bower;2024-10-20;2024-10-21;总共 how;modulo;waterskiing yum;2024-10-21;2024-10-20;2024-10-20;2024-10-21;大约;多么 捡 woot;ouch
4;单 schedule;不 轻松 多亏;whenever;勇敢 fixture drat;although;an 许多 boo;都;fooey 惟独 as;坏;2024-10-21;polyp 骨碌碌 蠕动;likewise;11006.93;19555.74;扔;2024-10-20;meanwhile even;骨碌碌 hatred below;大方 搜 where;舞;2024-10-21;5176.48;细 anenst;滑;撑 because;meh;大方 huzzah 掘;pish beyond 搜;hazelnut 统统 furthermore;掐;syndicate;ah 一同;aw abaft;举;多亏;比较;2024-10-21;2024-10-21;oof 却;yum;because why;2024-10-21;2024-10-20;2024-10-20;2024-10-20;整 frown;lest woot following;attempt pfft yet
5;dilapidation;勇敢;熟练 清楚 supposing;搔 smock;than 生动 popularity;惟独;whoa 抿 astride;一齐 都;热 lest hmph;2024-10-20;极 撕 雪白;round;27299.33;7719.52;although;2024-10-20;blah;down oof wage;although;phooey accomplishment;2024-10-20;12253.47;um to;athwart boohoo acoustics;挖 ant;connection 一齐;weasel scam lest;舞 老实 坏;er where;稍微 ew because;sans 马虎 per;捡 马虎;till 简直 少;生动;towards;psst huzzah 也许;2024-10-20;2024-10-21;热 zowie meteorology;boo 好在 平常;硬 yuck;2024-10-20;2024-10-21;2024-10-20;2024-10-20;spouse;whoever concerning;wound 相当 马虎
6;短 athwart;defense besides 平坦;比较 sweater uh-huh;toreador 滑;冷 伟大 inasmuch;切;全;the 没有;until whoever;2024-10-21;er absent whereas;for;23482.75;19935.51;beside 伟大;2024-10-20;短;whoa 也许 opposite;黑不溜秋;hence 极其;2024-10-20;11911.16;当然 qua;撕;yippee why;phooey;document;抽 than;粗 索性 whoa;even whenever jockey;必然 短 大;aboard;and;academy amidst;一概 of temperature;yum;2024-10-20;2024-10-20;fritter phooey incidentally;搔 hmph ugh;unto 啃 gah;2024-10-21;2024-10-20;2024-10-21;2024-10-21;依然 干脆 却;eek ew 骨碌碌;meanwhile 转动 if
7;难道 少 整;好在 剪 做;except;printing a;扔;than with;duh 黑不溜秋 pro;incidentally 平坦;fact 特地;2024-10-20;beyond 平常;although till;6749.76;22.41;嚼;2024-10-20;逐渐 whey 关闭;yum;仅仅;outrun;2024-10-20;18861.92;whenever;down witness;zephyr at;爬 攥;黑不溜秋;冷;没;yet;meanwhile;anti;拆;yahoo;提;多亏;2024-10-21;2024-10-20;to 清楚;绿油油;woot behind horn;2024-10-20;2024-10-21;2024-10-21;2024-10-21;弹 likewise;更 嚼;极
8;好在;细 总共 一道;via alongside;开 afore wherever;抚;细 苦;behind 极;画;gosh 冷;2024-10-20;gah uh-huh past;lipstick incentive;25837.34;18779.74;apropos 好些 热;2024-10-20;撒 ack;toward;owl 笔直 education;radiator;2024-10-20;32499.69;aw salad;freelance;yowza 吃 少;仅仅;软 hydrant 搂;播 into;oh;短;linen;搂 移动 一起;so;yowza;when 一起 vice;短 rating;2024-10-20;2024-10-20;aw;舞 好些;yowza which 笔直;2024-10-20;2024-10-20;2024-10-20;2024-10-20;做 ack until;稍微 很;长
9;捡 抽 整;笔直 sans 慢;aside hide;共 what;circa;which 甜 classification;仅仅 操作 though;um 必定;ack besides;2024-10-21;平坦 坐 opposite;glass unlike;281.62;18198.15;毅然;2024-10-20;抄;hmph 揽 onto;没 excepting 共;now;2024-10-21;16371.86;and 摇;qua 别;than via;voting hence 移动;however;抄;crowd 举;搂;till;eek but ordinary;warlord broad;media;搂;merchant the excepting;2024-10-20;2024-10-20;diarist 索性;就 lest after;只 whoever who;2024-10-20;2024-10-20;2024-10-20;2024-10-20;oh 马虎 揍;boohoo 多么;摊 synod sloth
10;between 捡 up;ukulele 雪白 粗;sensibility mobility;互相;yowza 捡 转动;integer;peer blah;ha doubt yuck;off likewise lest;2024-10-21;through versus;how;32562.34;13949.14;once until;2024-10-20;嚼 woot;uniform;aw 舞;medal 最 伟大;2024-10-20;2755.97;清楚 boo gosh;pish anti;how;冷 尽;hurdle 坏 once;waterbed 整;都 perp;坚固 background;than within;摊;tool tube;偏偏;整 revascularisation reflection;however 抱 now;2024-10-20;2024-10-21;当然;after;from 单;2024-10-20;2024-10-20;2024-10-20;2024-10-20;摸 mortal 大;bowler;phew 平常 几乎
