id;workbagid;belongwbsid;outsourcingcontractid;qualityproblemid;qualityproblemname;problemhappentime;problemresponsibleperson;problemresponsibleunit;producttype;productname;problemphenomenon;problemtype;qualitylevel;zerotype;problemreasonanalysis;problemreasoncategory;takemeasures;onebyonecategory;verificationeffect;qualityprojectreport;qualitytozeroreport;reviewopinion;implementationverificationtable;audit_status
1;whether 许多 血淋淋;atop 互相 ack;硬 拍;弹 仅仅 大约;捉 though;2024-10-20;抿;oof;清楚 whereas with;zowie whose;boo;provided 倒;击 for;关闭 敢情 捶;but until 写;红;wherever 特地 敲;全;笔直 拎 捶;sledge with;yet;why;举 liquor;APPROVED
2;into pursuit;fringe ouch pish;十分;扔;uh-huh gosh;2024-10-20;phooey;meanwhile 大 擅自;since;toward;though whoa;because bedroom;forestry 弹;轻松;and who 逐渐;off;afore;pregnancy 摸;长 百般;gee 特地;publicity to;against 极 hence;abaft;APPROVED
3;擦;after 骨碌碌 to;何尝 索性;抱 why 逐步;pfft blah;2024-10-21;cross-contamination before 逐步;mid force 鲁莽;beneath;corn;长 大约;长;咀 armadillo;撒 which;metabolite;伟大 now oh;practice from between;更加 while;once 启动;which circa;热;indeed huzzah 互相;if 几乎 短;NOT_AUDITED
4;which;熟练 拣 meh;拎 细 autumn;and;擦 above;2024-10-20;till 仅仅 room;gee 击 cauliflower;following 攥;ah;whose phew 推;雪白 扶 behind;practitioner um 挡;strait;渐渐 whereas;却;the 持;搔 athwart afore;撑;抱 擦 打;meh 雪白 小;擅自;who;APPROVED
5;following yahoo;捺 into;guitarist 挖;坚固 between;throughout;2024-10-20;只;摔;if that;metallurgist;极其 like hence;ack furthermore;咬;gadzooks pepper 清楚;glider than excluding;老实 uh-huh;for 移动;硬 轻松 van;instead 捣;phew 硬;摸 times;特地 as instead;倒 woot;IN_AUDIT
6;cot;when;because;都 蠕动;互相;2024-10-20;伟大;washtub;ah;pish;technician 熟练 considering;许多 inhibitor;boo aside on;短 冷 一味;concerning how;now gee souvenir;times whether since;down 干脆;outside mama consequently;热;熟练;一味 马虎;lest 清楚 坚固;IN_AUDIT
7;yum whose 格外;circa;against variable;phooey;绿油油 hm;2024-10-21;by yahoo;papaya brr;without 慢 舞;consequently;坏 捺 oof;干脆;notwithstanding;fooey 鲁莽;pfft 抚;好 一共;索性;持 oof 鲁莽;都 link;plot sideboard;blah;没有;甜 ah dream;APPROVED
8;rhythm um;写;滑 incidentally;replication;aside bronchitis boohoo;2024-10-20;aw;near 倒;aha;摸;twilight brr like;phooey mmm 反正;boo;regarding 优秀 摸;however;assist;平常 吐 er;than 雪白 roster;phosphate after;unlike 多么 afore;反正 phew;at which;min 整 却;NOT_AUDITED
9;against now amongst;catamaran instead 雪白;who;敲 whether;aha 共 勇敢;2024-10-21;yahoo incidentally supposing;托 播 incidentally;搀 坚固 ew;now astride 相当;excepting so 优秀;and;只;mmm;ick;that;for;倒;击;单;偏偏 whoa;伟大;because frog;APPROVED
10;咀 whoever 驾驶;brr 抄;坏 撕;considering 却;摇 championship analytics;2024-10-21;抱;authenticity 统统 攥;少;光 鲁莽 smell;拿 for;whoa 依然 meh;circa skirt ick;ew 撬;坐;overweight;特地;even or;多 抿;写 vice after;along indeed 绿;毅然;互相 abbey;IN_AUDIT
