id;title;content;jhi_date;page;secretlevel;confidentialityperiod;confidentialnumber;storageperiod;plannumber;remarks;receivingnumber
7b5042ac-314f-4caa-a5d9-8770db9bca78;as 播;红 over 渐渐;2024-10-20;23847;PUBLIC;2024-10-20;phooey fellow 全;2024-10-21;撕;oof;duh
b582126e-3f74-4eae-b281-95a996979188;全;坐;2024-10-20;8670;PUBLIC;2024-10-20;procedure forenenst fooey;2024-10-20;sleepiness 仅仅 捉;mid an;提 开 where
5167bb85-8aad-47be-a05d-2a1bcf61552c;挡 ugh 优秀;ick 惟独 bah;2024-10-20;25147;PUBLIC;2024-10-21;circa 统统;2024-10-20;fooey 坏;uh-huh although beneath;大 because consequently
e504623e-9eee-49d8-a639-b7e1f2aeb192;whereas blah software;eek;2024-10-20;5503;PUBLIC;2024-10-21;suggestion 轻松 yippee;2024-10-21;坚固 psst;grief;必然
d4ef6b58-1647-429e-b998-b608a336f006;拿 依然;捡 平常;2024-10-20;15381;SECRET;2024-10-21;er gee;2024-10-21;坏 擦;毅然 phew for;midst waterbed the
328f28da-0f54-40e0-9870-f10867de8ed0;难道 撬 擒;huzzah 必定;2024-10-21;27468;INTERNAL;2024-10-21;barring pike;2024-10-20;excluding;aw 拆;百般 phew
9485048f-8a08-428a-b1ef-607c566c8906;uh-huh;pfft via station;2024-10-21;394;PUBLIC;2024-10-20;zowie along 一味;2024-10-20;没;spectrograph whose 摘;绿 bah 关闭
303fb020-bfa4-420a-8ab3-9d0cbdaa7922;撬 摇 unto;幸亏 meanwhile;2024-10-21;8618;PUBLIC;2024-10-20;拧 quiet;2024-10-20;anti;starter 单;坏
4838b507-6e7e-429c-8e6c-bb299c208fac;fooey;多亏 倒 多么;2024-10-20;30206;CONFIDENTIAL;2024-10-20;than 捺;2024-10-21;坏 collectivisation;简直 开;alongside boo 大方
75857411-b16f-4579-983b-db7a2c748bb0;at within;挖 uh-huh 敲;2024-10-21;30097;INTERNAL;2024-10-20;苦 till;2024-10-21;boohoo;beyond;鲁莽 yet
