id;objectiveslevel;objectivestype;objectivesname;objectivescontent;calculationmethod;frequency;evaluationcriteria
1;of yahoo 咀;gosh 红 特地;near 极;转动 concerning oof;骨碌碌 插 喝;清楚 一定 别;多亏 大方
2;剪;扶;互相 平常 hockey;擅自;motor;yuck since absent;carnation
3;blah below than;round duh an;轻松 supposing;ick 血淋淋 整齐;dollop gee over;emanate;yet 操作
4;tracksuit 太;muscle;ew since 小;reform unto;towel 许多;坚固 坏;awareness
5;关闭 of;一道 做 once;大约;than;perfume;也许;yahoo ha pace
6;lest 当然 certificate;短;oof eek;黑不溜秋 ocelot 果然;amongst 拔;ugh whose;by furthermore
7;plus 比较;ew 简直 倒;骨碌碌 abaft 鲁莽;zephyr;above instead 很;一道 粗;estrogen
8;dig hmph;failing;proposition yahoo;挥 ouch;after 好;攥 zowie 轻松;how
9;捧;and fooey;搂;whose;till;supposing;小 though
10;抽;yuck 坐 exhibition;绿 alpenhorn 百般;简直 ick 逐步;熟练;duh 坚固;比较
