id;workbagid;belongwbsid;outsourcingcontractid;technicalid;technicalname;changedfilename;applicant;applicationdate;changedreason;changedbefore;changedafter;distributionrange;remarks;audit_status
1;却 daughter behind;onto;gee 整齐;beyond nor;before;marketplace;without onto;2024-07-29;whether sister despite;psst up;along 一味;bah;past;APPROVED
2;pfft 弹 坚固;and woot 光;撑 却;ew yuck;spelt inasmuch gadzooks;ah yowza why;却 吐 喝;2024-07-30;because 优秀;整 做 meanwhile;许多;before;倒 许多;NOT_AUDITED
3;folklore ouch and;inasmuch than phew;逐步 少 搔;特地;干脆;喝 toward mean;干脆;2024-07-29;比较;nest 老实;comment 掘 wherever;一定;gosh;NOT_AUDITED
4;whose 共;down fooey yet;挡 gadzooks;instead;抛 吃;整 马虎 oh;gadget system upon;2024-07-30;骨碌碌;beside integer 平常;blah;failing;up mid drat;APPROVED
5;circa provided;渐渐 modulo about;wherever 搡 bargain;太 一概 何尝;画 一道;十分 an implement;gah;2024-07-29;gah pastry;骨碌碌 fusarium;移动 brr 少;抱;sans;NOT_AUDITED
6;boohoo;没 搜 batting;扶;why;优秀 热;净 播 掷;抽 after;2024-07-29;down 差点儿 sponsor;across after;causal;applause over barring;brr 咬 nor;APPROVED
7;uh-huh nexus;绿 zowie lasagna;so under pro;tritone but;bangle 剪;opposite;摸 大;2024-07-29;around;why 剪 更;ah 血淋淋 捺;yippee;toward;APPROVED
8;坏;共 驾驶 astride;bah;绿;what 扔;drat 伟大 坚固;苦 bah;2024-07-30;down via;ugh until 拖;红;平常 notwithstanding;though ouch;NOT_AUDITED
9;极;concrete backbone manor;modulo 拉;依然 footrest;beyond;off;phooey among given;2024-07-30;必定 聪明;flytrap er of;ticket once;拖;yippee;IN_AUDIT
10;sound aha 擅自;talking seashore;eek 整 yuck;坐 so;toward;差点儿 platform;熟练 整;2024-07-30;索性;很 save;leash 都;尽 afore;pilot;NOT_AUDITED
