id;wbsid;technicalfileid;applicationunit;applicant;applicationdate;permitcontent;permitreason;projectinfluence;contractinfluence;permitrange;implementationdate;remarks;audit_status
1;uh-huh 当然;mileage 擦 干脆;鲁莽 whereas;仍然;2024-10-21;registry 捉 伟大;轻松 拿;magnet;including;round 倒;2024-10-21;supposing 太 amidst;NOT_AUDITED
2;a 干脆;bah;whereas 拆 notwithstanding;摇;2024-10-20;glen woot;整齐;可;十分 干脆;gah;2024-10-21;别 托 没;IN_AUDIT
3;ha;sport oof;huzzah 平常;ew 拖 关闭;2024-10-21;between motive 格外;kinase 捉 蠕动;private until;许多;anenst 冷;2024-10-21;off;NOT_AUDITED
4;gadzooks pfft;even 难道;抿 why;一齐 till 掘;2024-10-21;写 剪;psst;更加;furthermore;可 whoever;2024-10-20;divorce anenst worth;NOT_AUDITED
5;逐渐 甜;好些 ick because;多 推;as;2024-10-21;um 冷 搂;however nor er;搂 via hence;sans polenta;ordination;2024-10-21;zowie meanwhile 整;IN_AUDIT
6;仍然 embossing 挡;吃 as;仅;长;2024-10-20;until amid what;马虎;抬 guard along;一齐 果然;since unless meh;2024-10-20;though for;APPROVED
7;gun 热;捶 绿 yowza;if;out pinafore initiative;2024-10-20;what;facsimile while obesity;倒;统统 when;掘;2024-10-21;for hall 粗;APPROVED
8;inasmuch;consequently;平坦;fooey;2024-10-21;好在 however times;yowza;掷;渐渐;with;2024-10-20;跳 捏 minus;NOT_AUDITED
9;um 笔直 yippee;捺 就;save so;干脆 apropos;2024-10-20;更加 热;worth 爬;仿佛 that;concerning;仅;2024-10-20;坚固 fooey 粗;NOT_AUDITED
10;surface;because 好 全;pfft through cushion;幸亏;2024-10-20;拍;failing 多亏;没有 捡;sans;interconnection;2024-10-20;outside;IN_AUDIT
