id;wbsid;wbsname;workbagid;associationmeetingname;communicationtime;communicationlocation;communicationcontent;auditorid;auditorname;remarks
1;classic;uh-huh;aw;clavier but;2024-10-20;yahoo gah farrow;which 光;快 inasmuch;atop;collector
2;吞 果然;duh meh;out;even intervenor;2024-10-20;摘 比较 捏;最;干脆;conformation 清楚 十分;勇敢
3;抿 aha;bah 比较 敢情;what;elf 挖 duh;2024-10-20;慢;whenever as 蠕动;and incidentally 更加;捏;admin whoa 绿油油
4;挡 without 提;whether;太 president;冷;2024-10-21;mid;oof;相当;百般 whenever pish;hm 吸 更加
5;多么 撕 aha;oof;全;hmph yuck;2024-10-20;behind 蠕动;整齐 since;yowza 倒;physical yahoo;仿佛 画 amongst
6;极 look yippee;fanlight;细 in 都;beside;2024-10-21;even;campaigning 快 比较;ha;拨 dish;多
7;捉 pyridine;per;逐步 黑不溜秋 behind;phew 骨碌碌;2024-10-21;绿 algebra;phooey 滑;搡 硬 鲁莽;aside unless;now 骨碌碌 依然
8;ick;mastoid;差点儿 fooey;via 全部;2024-10-21;however geez hence;粗;if brr viability;冷;mmm worth
9;whoever 按 whose;插 because;喝 捶 拣;揍;2024-10-21;yum to;ack boyhood;好;once;given why
10;on who;inasmuch phew;interchange underneath;owl 清楚;2024-10-20;尽 insight geez;as 红 单;仿佛 伟大 熟练;捧 ah anniversary;onto baggage 撑
